The all best features are: 
                                      Feat_names    F_Scores
153                                       PCCNCp    0.802989
161                                      PCCONNp    0.754545
152                                       PCCNCz    0.689469
34                              stem_overlap_all    0.675779
202                                      WRDIMGc    0.675178
102                     gerund_density_incidence    0.642703
52                                       adj_ttr    0.586127
98                                   adj_density    0.578699
180                                      SMCAUSr    0.519501
173                                     CNCTempx    0.506693
45                                    dale_chall    0.499377
157                                        PCDCp    0.449795
116                           num_pres_incidence    0.428158
201                                      WRDCNCc    0.393053
106                                  mean_rare_4    0.371107
193                                      WRDPRP2    0.320142
40                  causal_connectives_incidence    0.175482
156                                        PCDCz    0.173309
80                                  num_a1_words    0.139312
139                     num_first_pers_sing_pron    0.136891
185                                    SYNMEDpos    0.016396
176                                       CNCNeg         NaN
175                                       CNCPos         NaN
Best parameters found:: {'estimator': RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
                       max_depth=None, max_features='auto', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=1000,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'estimator__criterion': 'gini', 'estimator__max_features': 'auto', 'estimator__n_estimators': 1000} 

Accuracy: 74.50255030547616

Accuracy values: [0.64254386 0.66666667 0.66447368 0.67105263 0.63157895 0.65570175
 0.62938596 0.65570175 0.64912281 0.65570175 0.64692982 0.66666667
 0.63377193 0.64692982 0.62719298 0.64035088 0.65789474 0.66885965
 0.66447368 0.68421053 0.67982456 0.70614035 0.68640351 0.70833333
 0.69736842 0.70614035 0.69078947 0.70614035 0.67763158 0.70175439
 0.67324561 0.68859649 0.68201754 0.70175439 0.6754386  0.68201754
 0.64254386 0.66666667 0.66447368 0.67105263 0.63157895 0.65570175
 0.62938596 0.65570175 0.64912281 0.65570175 0.64692982 0.66666667
 0.63377193 0.64692982 0.62719298 0.64035088 0.65789474 0.66885965
 0.64254386 0.66666667 0.66447368 0.67105263 0.63157895 0.65570175
 0.62938596 0.65570175 0.64912281 0.65570175 0.64692982 0.66666667
 0.63377193 0.64692982 0.62719298 0.64035088 0.65789474 0.66885965
 0.66447368 0.68421053 0.67982456 0.70614035 0.68640351 0.70833333
 0.69736842 0.70614035 0.69078947 0.70614035 0.67763158 0.70175439
 0.67324561 0.68859649 0.68201754 0.70175439 0.6754386  0.68201754
 0.64254386 0.66666667 0.66447368 0.67105263 0.63157895 0.65570175
 0.62938596 0.65570175 0.64912281 0.65570175 0.64692982 0.66666667
 0.63377193 0.64692982 0.62719298 0.64035088 0.65789474 0.66885965
 0.64254386 0.66666667 0.66447368 0.67105263 0.63157895 0.65570175
 0.62938596 0.65570175 0.64912281 0.65570175 0.64692982 0.66666667
 0.63377193 0.64692982 0.62719298 0.64035088 0.65789474 0.66885965
 0.66447368 0.68421053 0.67982456 0.70614035 0.68640351 0.70833333
 0.69736842 0.70614035 0.69078947 0.70614035 0.67763158 0.70175439
 0.67324561 0.68859649 0.68201754 0.70175439 0.6754386  0.68201754
 0.64254386 0.66666667 0.66447368 0.67105263 0.63157895 0.65570175
 0.62938596 0.65570175 0.64912281 0.65570175 0.64692982 0.66666667
 0.63377193 0.64692982 0.62719298 0.64035088 0.65789474 0.66885965
 0.71710526 0.73026316 0.71491228 0.74342105 0.73903509 0.72807018
 0.72149123 0.70175439 0.73684211 0.73464912 0.70175439 0.70614035
 0.73684211 0.75438596 0.71710526 0.73464912 0.7127193  0.70614035
 0.75219298 0.73245614 0.71491228 0.71491228 0.73245614 0.72807018
 0.73684211 0.73026316 0.72807018 0.74342105 0.69736842 0.74122807
 0.72587719 0.72368421 0.69517544 0.71929825 0.74122807 0.73245614
 0.70394737 0.74122807 0.72807018 0.74122807 0.72807018 0.71929825
 0.73026316 0.75       0.76535088 0.77631579 0.80701754 0.77192982
 0.80263158 0.82675439 0.70614035 0.75219298 0.75438596 0.77192982
 0.77412281 0.81359649 0.80921053 0.80482456 0.70833333 0.72149123
 0.73684211 0.75219298 0.76754386 0.78289474 0.80921053 0.81798246
 0.73464912 0.73026316 0.77631579 0.76535088 0.78289474 0.80701754
 0.82236842 0.82017544 0.71491228 0.75219298 0.78070175 0.75877193
 0.7872807  0.80482456 0.81140351 0.82675439 0.69517544 0.74342105
 0.73464912 0.77631579 0.76535088 0.79385965 0.82236842 0.8245614
 0.57675439 0.5877193  0.5877193  0.5877193  0.59868421 0.59210526
 0.69517544 0.68640351 0.59429825 0.60745614 0.625      0.66666667
 0.66885965 0.68640351 0.73026316 0.72149123 0.69736842 0.68201754
 0.69736842 0.7127193  0.72587719 0.72368421 0.71929825 0.70614035
 0.79824561 0.78508772 0.79166667 0.8004386  0.79824561 0.7872807
 0.79385965 0.79824561 0.79824561 0.79166667 0.79605263 0.77192982
 0.81140351 0.78289474 0.78289474 0.78070175 0.76973684 0.77192982
 0.7872807  0.78289474 0.77412281 0.77412281 0.79605263 0.76754386
 0.77412281 0.7872807  0.76754386 0.76973684 0.74342105 0.76535088
 0.77412281 0.73903509 0.75657895 0.74780702 0.74780702 0.77192982
 0.75438596 0.76096491 0.75       0.76754386 0.74561404 0.76754386
 0.77192982 0.73903509 0.75       0.73684211 0.71929825 0.75877193
 0.75877193 0.75       0.73684211 0.76315789 0.73903509 0.73245614
 0.75       0.77850877 0.74780702 0.75877193 0.74561404 0.75877193
 0.76535088 0.75       0.74342105 0.75       0.75       0.75
 0.74780702 0.74780702 0.74780702 0.77631579 0.80921053 0.81359649
 0.79605263 0.79385965 0.79605263 0.79824561 0.80263158 0.78070175
 0.79166667 0.79824561 0.79385965 0.80482456 0.79824561 0.79605263
 0.7872807  0.79824561 0.79605263 0.79166667 0.79166667 0.80482456
 0.8004386  0.79385965 0.79166667 0.79824561 0.79385965 0.79605263
 0.79824561 0.79385965 0.77850877 0.7872807  0.7872807  0.78289474
 0.76973684 0.79605263 0.79824561 0.78289474 0.78289474 0.78947368
 0.79385965 0.76315789 0.78289474 0.77631579 0.78070175 0.78947368
 0.79385965 0.79166667 0.77850877 0.77850877 0.78947368 0.78070175
 0.78947368 0.78070175 0.7872807  0.77631579 0.77192982 0.77850877
 0.78289474 0.7872807  0.78947368 0.77631579 0.77850877 0.78508772
 0.76754386 0.7872807  0.79385965 0.78070175 0.77850877 0.7872807
 0.78508772 0.76973684 0.80921053 0.79824561 0.80263158 0.80921053
 0.80482456 0.79385965 0.80263158 0.78947368 0.79605263 0.79605263
 0.80482456 0.79824561 0.78508772 0.80263158 0.81578947 0.78508772
 0.8004386  0.80263158 0.80263158 0.79605263 0.80701754 0.79824561
 0.81798246 0.80482456 0.79166667 0.78947368 0.7872807  0.79605263
 0.79166667 0.78508772 0.79385965 0.80482456 0.79605263 0.78947368
 0.7872807  0.8004386  0.79166667 0.79605263 0.77631579 0.79385965
 0.7872807  0.7872807  0.7872807  0.78947368 0.79824561 0.78289474
 0.79605263 0.78508772 0.78070175 0.78070175 0.79824561 0.78289474
 0.78070175 0.77631579 0.7872807  0.79385965 0.78289474 0.78289474
 0.78289474 0.77412281 0.78508772 0.7872807  0.78508772 0.79166667
 0.79605263 0.77631579 0.77412281 0.77192982 0.7872807  0.76973684
 0.8004386  0.80701754 0.8245614  0.81359649 0.81359649 0.8004386
 0.80482456 0.78508772 0.79166667 0.80921053 0.80263158 0.79385965
 0.8004386  0.79385965 0.8004386  0.79166667 0.80263158 0.81140351
 0.81140351 0.80263158 0.80263158 0.80263158 0.8004386  0.80482456
 0.81140351 0.80263158 0.80921053 0.79385965 0.76535088 0.79605263
 0.80263158 0.80701754 0.79166667 0.78947368 0.79385965 0.79824561
 0.79824561 0.79166667 0.79385965 0.78508772 0.78947368 0.7872807
 0.7872807  0.7872807  0.79166667 0.78070175 0.79385965 0.78289474
 0.77850877 0.79605263 0.79605263 0.78289474 0.78508772 0.7872807
 0.78508772 0.77850877 0.80263158 0.78947368 0.78508772 0.7872807
 0.79166667 0.78289474 0.7872807  0.78289474 0.77850877 0.77631579
 0.78289474 0.78289474 0.79166667 0.7872807  0.79385965 0.79824561
 0.8004386  0.81140351 0.80921053 0.79824561 0.80263158 0.7872807
 0.80921053 0.81140351 0.80921053 0.79605263 0.80263158 0.8004386
 0.79385965 0.78947368 0.81578947 0.80263158 0.81359649 0.80921053
 0.80263158 0.79824561 0.78508772 0.80701754 0.80701754 0.81359649
 0.80701754 0.80263158 0.77631579 0.78947368 0.8004386  0.80263158
 0.7872807  0.79166667 0.78947368 0.77850877 0.79385965 0.7872807
 0.79166667 0.78947368 0.78947368 0.79166667 0.7872807  0.79824561
 0.79166667 0.79605263 0.78070175 0.78947368 0.78070175 0.79824561
 0.78070175 0.78508772 0.77631579 0.79166667 0.77850877 0.77412281
 0.79824561 0.80263158 0.78508772 0.78289474 0.77192982 0.78289474
 0.8004386  0.77850877 0.7872807  0.77631579 0.78289474 0.79166667
 0.77850877 0.76754386]

Precision: 75.12636015036932

Recall: 74.50255030547616

F-measure: 74.10534528243828

Accuracy achieve with the TEST SET: 83.78378378378379 


Confusion matrix for Test Set:                   Predicted:advanced  Predicted:elementary  Predicted:intermediate
Real:advanced                      32                     0                       5
Real:elementary                     0                    34                       3
Real:intermediate                   5                     5                      27
